id,reference_id,name,description,image_url,created_at,updated_at,deleted_at
1,7155ede0-55b8-57eb-85ae-120633a7c73c,로얄캐닌,견종·연령 맞춤 영양 설계를 강조하는 프리미엄 펫푸드 브랜드,https://cdn.loopers.dev/brands/royal-canin.jpg,2022-02-04 14:32:39.376294,2022-09-17 18:57:41.312306,\N
2,54da4d21-0b68-5bbd-99a3-fe749f9a1f0c,ANF,홀리스틱 원료 기반의 데일리 반려견 사료 브랜드,https://cdn.loopers.dev/brands/anf.jpg,2023-04-27 19:14:43.468446,2024-04-01 15:05:20.568056,\N
3,c6c266f5-8e6d-56bc-ad45-3d3efbeef49a,네츄럴코어,유기농·자연주의 콘셉트의 반려동물 식품 브랜드,https://cdn.loopers.dev/brands/natural-core.jpg,2022-05-04 20:51:34.494422,2023-01-20 15:22:36.731665,\N
4,1db1fbd1-5238-57f2-b86d-764fc692f82c,아카나,고단백 레시피 중심의 캐나다 프리미엄 사료 브랜드,https://cdn.loopers.dev/brands/acana.jpg,2024-04-03 09:24:32.288070,2024-11-08 00:15:19.021908,\N
5,01f44bf7-5df5-5db6-ba00-2d02309e1855,오리젠,풍부한 육류 함량을 앞세운 하이엔드 펫푸드 브랜드,https://cdn.loopers.dev/brands/orijen.jpg,2023-06-03 17:58:49.601984,2023-10-11 04:37:29.148210,\N
6,abe3bbf0-7dd9-528d-935f-fe29fb11a014,하림펫푸드,국내 생산 기반의 신선한 원료를 강조하는 펫푸드 브랜드,https://cdn.loopers.dev/brands/harim-petfood.jpg,2023-01-25 23:56:30.269826,2023-01-30 06:47:49.530062,\N
7,65f1499a-799f-529e-b1d7-4716e3b909bb,퓨리나 프로플랜,영양 밸런스와 기능성 포뮬러를 갖춘 글로벌 브랜드,https://cdn.loopers.dev/brands/purina-proplan.jpg,2022-12-13 04:07:48.168704,2023-04-18 11:23:21.716881,\N
8,5bc7e7f8-93a6-5429-88d6-8188c9084800,내추럴발란스,제한 원료와 기능성 처방을 함께 제안하는 펫푸드 브랜드,https://cdn.loopers.dev/brands/natural-balance.jpg,2023-04-17 16:33:43.100031,2023-07-01 02:52:01.832618,\N
9,a93d3570-dc19-5cda-9067-f389d80a3ee9,힐스,수의영양학 기반 포뮬러를 운영하는 글로벌 펫케어 브랜드,https://cdn.loopers.dev/brands/hills.jpg,2023-08-06 16:24:16.739481,2023-10-03 00:35:17.337694,\N
10,10cb6753-aa29-59c4-84e9-cf015ef9208f,시저,소포장 습식과 기호성 중심 상품군이 강한 브랜드,https://cdn.loopers.dev/brands/cesar.jpg,2024-01-29 03:10:09.943521,2024-09-14 06:01:22.239013,\N
